Persistent Link,State,Title,LCCN,OCLC,ISSN,No. of Issues,First Issue Date,Last Issue Date,More Info
https://chroniclingamerica.loc.gov/lccn/sn99068038/issues/,South Dakota," The Wagner post. (Wagner, Charles Mix County, S.D.) 1912-current ",sn99068038,39366620.0,2689-1239,13.0,"April 5, 1912","June 28, 1912",https://chroniclingamerica.loc.gov/lccn/sn99068038/essays/
https://chroniclingamerica.loc.gov/lccn/sn2001063565/issues/,South Dakota," The Warner sun. (Warner, Brown Co., Dakota [S.D.]) 1885-1??? ",sn2001063565,47669298.0,2766-8258,149.0," Sept. 25, 1885 ","Aug. 24, 1888",https://chroniclingamerica.loc.gov/lccn/sn2001063565/essays/
https://chroniclingamerica.loc.gov/lccn/sn2001063566/issues/,South Dakota," The Warner weekly sun. (Warner, Brown Co., Dakota [S.D.]) 1883-1885 ",sn2001063566,47669370.0,2766-8185,106.0,"Aug. 18, 1883"," Sept. 18, 1885 ",https://chroniclingamerica.loc.gov/lccn/sn2001063566/essays/
https://chroniclingamerica.loc.gov/lccn/sn99067997/issues/,South Dakota," Wessington Springs herald. (Wessington Springs, Aurora County, Dakota [S.D.]) 1883-1891 ",sn99067997,41965864.0,2475-4439,460.0,"March 24, 1883","Dec. 18, 1891",https://chroniclingamerica.loc.gov/lccn/sn99067997/essays/
https://chroniclingamerica.loc.gov/lccn/sn91099607/issues/,South Dakota," Yankton daily press and Dakotaian. (Yankton, Dakota Territory [S.D.]) 1875-1875 ",sn91099607,23458968.0,2473-120X,165.0,"April 26, 1875","Nov. 4, 1875",https://chroniclingamerica.loc.gov/lccn/sn91099607/essays/
,,,,,,,,,
https://chroniclingamerica.loc.gov/lccn/sn84024443/issues/,Tennessee," The Athens post. [volume] (Athens, Tenn.) 1848-1917 ",sn84024443,10989593.0,2327-8773,830.0,"Oct. 12, 1849","Dec. 25, 1874",https://chroniclingamerica.loc.gov/lccn/sn84024443/essays/
https://chroniclingamerica.loc.gov/lccn/sn96091617/issues/,Tennessee," Blount County democrat. [volume] (Maryville, Tenn.) 1879-1883 ",sn96091617,35003119.0,2331-3080,35.0,"July 31, 1879","Jan. 20, 1883",https://chroniclingamerica.loc.gov/lccn/sn96091617/essays/
https://chroniclingamerica.loc.gov/lccn/sn89058007/issues/,Tennessee," The Bolivar bulletin. (Bolivar, Tenn.) 1888-1946 ",sn89058007,18997742.0,2374-734X,807.0,"Nov. 30, 1888","Dec. 23, 1904",https://chroniclingamerica.loc.gov/lccn/sn89058007/essays/
https://chroniclingamerica.loc.gov/lccn/sn85033306/issues/,Tennessee," The Bolivar bulletin. [volume] (Bolivar, Hardeman County, Tenn.) 1865-1888 ",sn85033306,11835950.0,2327-879X,1087.0," Sept. 21, 1865 ","April 13, 1888",https://chroniclingamerica.loc.gov/lccn/sn85033306/essays/
https://chroniclingamerica.loc.gov/lccn/sn85026955/issues/,Tennessee," Bristol news. [volume] (Bristol, Va. &amp; Tenn.) 1867-189? ",sn85026955,12819767.0,2166-5818,719.0,"Aug. 14, 1868","Oct. 3, 1882",https://chroniclingamerica.loc.gov/lccn/sn85026955/essays/
https://chroniclingamerica.loc.gov/lccn/sn83045627/issues/,Tennessee," Brownlow&#39;s Knoxville Whig and independent journal. [volume] (Knoxville, Tenn.) 1849-1855 ",sn83045627,9547719.0,2331-2858,1.0,"Jan. 20, 1855","Jan. 20, 1855",https://chroniclingamerica.loc.gov/lccn/sn83045627/essays/
https://chroniclingamerica.loc.gov/lccn/sn83045586/issues/,Tennessee," Brownlow&#39;s Knoxville Whig, and rebel ventilator. [volume] (Knoxville, Tenn.) 1863-1866 ",sn83045586,9547745.0,2165-8625,175.0,"Nov. 11, 1863","Feb. 21, 1866",https://chroniclingamerica.loc.gov/lccn/sn83045586/essays/
https://chroniclingamerica.loc.gov/lccn/sn83045629/issues/,Tennessee," Brownlow&#39;s Knoxville Whig. [volume] (Knoxville, Tenn.) 1866-1869 ",sn83045629,9571237.0,2165-8587,151.0,"Feb. 28, 1866","Jan. 27, 1869",https://chroniclingamerica.loc.gov/lccn/sn83045629/essays/
